,file_x,man_id,tei_x,Unnamed: 0.6,file_y,tei_y,Unnamed: 0.5,file_x,tei_x,Unnamed: 0.4,file_y,tei_y,Unnamed: 0.3,file_x.2,tei_x.2,Unnamed: 0.2,file_y.2,tei_y.2,Unnamed: 0.1,file_x.1,tei_x.1,Unnamed: 0,file_y.1,tei_y.1,man_title,man_field_status_umschrift,man_sig,man_created,man_changed,man_pages,man_chapters,man_website_url,work_id,work_title,work_created,work_changed,werk_signatur_id,werk_website_url,werk_signatur,man_full_sig,fwf,work_status_x,work_status_y,work_status_x.1,work_status_y.1,work_status_x.2,work_status_y.2,work_status_x,work_status_y
20,,84cd8743-60f7-40a2-b49f-1553e7a31383,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,Typisches Beispiel eines verkappten Ödipustraumes,0,/1910,1627557775,1641979343,3,0,https://www.freud-edition.net/werke/typisches-beispiel-eines-verkappten-odipustraumes/druckversion,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1910,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
21,,d7ae7734-e865-46f5-9988-870a20c9e0ab,,21,,,21,,,21,,,21,,,21,,,21,,,21,,,Die Traumdeutung,0,/1925.2,1583937089,1654888740,0,10,https://www.freud-edition.net/werke/die-traumdeutung/druckversion-6,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1925.2,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
22,,50c3a580-7d11-49c8-8e7d-5e8012610a64,,22,,,22,,,22,,,22,,,22,,,22,,,22,,,Traumdeutung,0,/1897,1598380980,1654889524,3,0,https://www.freud-edition.net/werke/traumdeutung/druckversion,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1897,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
23,,49a4250e-9670-43a2-8af9-7090819550e1,,23,,,23,,,23,,,23,,,23,,,23,,,23,,,Die Traumdeutung ,2,/1930,1597751846,1672234485,0,18,https://www.freud-edition.net/werke/die-traumdeutung/druckversion-2,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1930,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
24,,1ea705e7-eed1-4df8-99f2-85f331e10fe6,,24,,,24,,,24,,,24,,,24,,,24,,,24,,,Die Traumdeutung ,2,/1909,1582115753,1672234994,0,12,https://www.freud-edition.net/werke/die-traumdeutung/druckversion-0,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1909,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
25,,db9f5bd1-b4ca-41e8-bc84-c0b812b48b9a,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,Die Traumdeutung,2,/1911,1582285154,1672235236,0,14,https://www.freud-edition.net/werke/die-traumdeutung/druckversion-1,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1911,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
26,,c9ea95d0-58f3-4154-9a6c-3386e4e460e3,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,Die Traumdeutung,2,/1914,1597390382,1672235504,0,17,https://www.freud-edition.net/werke/die-traumdeutung/druckversion-4,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1914,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
27,,9d005eaa-b896-4fff-a37a-40ff66957be1,,27,,,27,,,27,,,27,,,27,,,27,,,27,,,Die Traumdeutung,2,/1919,1582287953,1672235773,0,18,https://www.freud-edition.net/werke/die-traumdeutung/druckversion-7,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1919,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
28,,0732f2d0-bffe-4fba-a35e-4896e7e67585,,28,,,28,,,28,,,28,,,28,,,28,,,28,,,Die Traumdeutung,2,/1921,1598277169,1672236110,0,19,https://www.freud-edition.net/werke/die-traumdeutung/druckversion-3,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1921,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
29,,20b40bb3-3526-4476-a1c0-441c831addc1,,29,,,29,,,29,,,29,,,29,,,29,,,29,,,Die Traumdeutung,2,/1922,1598018949,1672236449,0,19,https://www.freud-edition.net/werke/die-traumdeutung/druckversion-5,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1922,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
