werk_signatur_id,werk_signatur
d59cb801-fbe5-42bd-95df-335bd6ec6c5d,1936-001
017f620f-e3e9-4197-b007-3bd3a61720bc,1936-003
c13f2948-6117-44a9-bbcf-610f4a96052e,1936-004
dc7af748-b57c-4ec2-adbd-291db0c64b3e,1936-006
4c301cc8-72b4-4a38-b068-48fca5b696e6,1936-211
5b0bac12-9fba-460d-a187-6a50a89ee656,1937-001
58d435c4-d285-4eaf-86e0-b36a871177d3,1937-002
3c9333dc-2cd1-4559-ae76-7bb75721cfa1,1937-003
bcc82a23-4383-4e4b-bf1c-86c69f82950d,1937-004
17e201d0-1b97-427f-bf69-7029250a6f5d,1937-005
29e34be5-5746-4c93-b94a-2dab393fa13a,1937-006
6446deb4-fe22-434f-af40-d2724342fa20,1937-007
9034a91e-a063-4006-8372-d5a9ef45c2c9,1938-001
3be0322a-7822-4cb1-b4a9-dfdebc9d3513,1938-301
29d181e6-92bf-4798-8577-e0b33f577ec7,1939-101
10b03b6c-5d1f-46e2-8927-ce2f5592b1fc,1938-102
debcc930-a26a-4dc2-b86b-e046cdc8b175,1938-211
ad133996-deaa-462b-9a45-82f7cd592071,1938-103
477e5a0f-5e59-46eb-b8bb-c132dedb436a,1938-104
27483c5a-e4c5-4eb8-ad81-ffaeb22608c9,1938-105
74a64747-faa7-4c58-80db-0c83facb761b,1938-002
ce7da610-c291-47fe-87c6-94946227c9d9,1939-201
830bbc34-4eef-4248-9621-6c412f284e03,1939-004
e89950f7-b9fe-4814-b7c2-1ef66791f716,1939-005
0fa7e06a-22a5-4993-92b7-f175bd501859,1939-007
3ce58738-10e2-4653-8a7f-ac73d5e3175b,1939-161
2831bfdc-0bcc-46b1-be9b-c4061206e73a,1939-002
52a535c7-7c37-43df-99c1-b4e4a1b07f83,1934-1939
997d66ed-6f73-4aea-9ba9-d2c5da704b19,1939-401
c86af184-83a0-4b13-b28a-4d514b96082c,1939-402
c5e2b4df-14f7-4f9d-ad93-0c740d064a78,1880-204
050eaff0-434a-4dd1-8521-fef593359754,1884-001
164453f3-4105-4873-a269-8818cb7e1cec,1884-002
21f2a794-3539-4086-ba33-96c6a89b1cad,1884-003
e6a1c1e4-48fb-43cd-86d0-dc3f5ae84af2,1884-004
74df7648-2c1b-4565-93dd-3357cf293bd9,1884-005
c2aa3051-200c-484c-86fe-2defb73e2ab5,1884-006
3617c4fa-00d5-47a6-a823-7bbe64297aeb,1884-007
dff0c59e-886c-4d80-ab2e-f2bfff9fe0d9,1884-008
0d08c914-b8bf-4ac6-b7ba-ec8a36d9287d,1885-001
4a5583a9-3f90-4b95-acb3-c52fcb1f6cfd,1885-002
94ead4fd-2fcb-4789-8280-d9e67e98ab81,1885-003
dcecf0b1-9a05-4d7e-9276-22222e7138ee,1885-005
630ca5eb-ea9b-4f8e-9c00-8f5d29e75ee2,1885-004
9a305108-502b-494a-997d-ffa4c3ad0d99,1885-006
5b768c05-3733-4e86-bbe1-4a80848d950c,1886-201
dd053a0b-3f05-4327-9835-3f59382338e1,1886-151
5caaa1ee-90bb-4820-a981-22c18dea2074,-1886-152
458476e2-8169-482c-84ce-cb1740881cf4,1886-161
85c3a300-553f-4147-a706-6bee6ea67ff9,1886-121
cd62617b-0134-4ffa-9f14-4e7eb6915ada,1886-001
123ff7c7-6cfd-41e9-840d-3eb632f1921c,1886-002
41c66933-fd0f-41b8-aacd-881ea7113073,1886-003
83a75464-d2b2-47ca-85b0-e78b86ebc976,1886-004
d577137a-f9a4-4400-8d6c-80c6dba31970,1886-005
1ca90404-895f-4ffb-85c6-ee271d731b19,1887-131
f7b65988-1024-4545-becd-4b02661a2b78,1887-101
67a33643-020d-4348-821c-b5b27688010f,1887-132
3f00b79e-b6ba-4a13-a57e-730aa9d9230e,1887-001
32f4a1e0-9e90-433c-bdfd-244debbdc3b3,1887-002
48fa09e8-88f8-4a65-84ce-536c15621f57,1887-003
f5113be0-b1c0-48e8-ac35-5c254b8deff3,1887-004
847f6123-2322-4724-b34c-60bf74fbd09e,1887-005
349a9d36-8c5e-4374-88b8-16f3db218199,1887-006
37447384-cca0-4323-87cd-b2247f245d11,1887-007
a8009906-52a7-4bea-9339-b2db1d35c3da,1887-008
96da4506-8086-42a2-a222-a8116de77446,1887-037
51dd2900-4cc2-4aac-8616-760df0a12503,1888-201
fcb2a6c6-5536-4455-83a3-a515c975de5c,1888-001
fd504d30-af70-42a6-a651-e2f68972aaa9,1888-002
7a33cad0-0464-4f2e-82cd-5cabd9496040,1888-004
0c5bf0c1-90f2-4011-9778-e324abca0e01,1888-005
35ed178b-6e13-474b-b526-c8326966a2f9,1888-006
cfb51c2e-a939-46cb-80e7-92108ff146a6,1888-007
1292f6f2-4b28-4f41-b74d-4be2ba5637d2,1888-008
b51a760e-b2ff-4a15-9ed3-f10878079786,1888-009
95ca6893-d39c-4453-a4a8-69f501e52ad3,1888-013
196e6ce0-e23a-45f7-906c-b831a7bb9dc2,1888-028
40f37fdc-5376-4439-8c27-386e25aed6a6,1891-111
0d55b775-5e32-4d4b-aaa8-797bd3eb44bf,1891-001
f0c62f36-a8fe-4131-afe5-e0164d0b2559,1891-002
664f3b8d-b56a-4bcf-8335-21736aefe815,192-102
fcac000f-002b-4ccb-a74a-f0eef46953ae,1893-101
38449146-be1e-42f8-a173-b57c34f01c9f,1893-102
9a8925c5-4368-4a2d-88e0-98f7825b08dd,1893-103
852fd331-95c3-4768-ad65-b72801437af4,1893-009
3010b859-d857-4633-ad9f-9fa4fc5782d8,1893-010
b014c40b-3277-48a2-a50b-44a0ecb721db,1893-016
d3c0b0f4-1231-4b18-8419-013fb0c146d3,1893-017
f08a689e-9dca-4e5d-9bfb-4517f60b77ba,1893-026
b407eb42-5da7-4308-a88c-12dd6f3e13a3,1893-025
742e060c-afe9-4bd7-82d6-84b9c394fc06,1893-024
af9281ab-5502-490d-8ac2-fbb51cc6afb9,1893-023
a198165e-10d7-4c0e-bd86-0a3d94c959f7,1893-022
1d4efbf0-c390-4cfa-b332-00a593b3a9a4,1893-021
464e5f84-b7a7-4686-b61c-80f53a96f65d,1893-020
a2c03bbd-b5bb-46f9-bf50-fbf71a73b9f8,1893-019
c6db51a8-e385-4e88-998a-f8e35e423174,1893-018
26276c28-e837-4ea2-8903-eba7858d8c2a,1893-006
8a88d430-241e-437b-a771-63a4e314d028,1893-005
eb5a98ad-f612-45d8-acfe-9fc70bb60381,1893-002
5ed1f4fa-55a7-4d45-9455-a8a220f0936f,1893-003
d0147136-82a3-48c0-9560-c47f4a593eff,1893-004
fec4dc83-0782-4cb0-9b25-5c318da2239c,1893-011
8c6daa3d-9511-4cb0-bc3d-077a8234bf65,1893-012
0a8d1665-c512-4df8-b138-509c3bdbed78,1893-013
f26829ef-893b-4411-810c-3b2c1e23045b,1893-014
68c622fd-54c2-4895-a9f4-d43ab563de34,1893-015
84555b18-973a-42ce-a740-be9aeca4c506,1893-027
0252c5bf-9534-418e-b7b4-3872491946ae,1893-028
14276a8f-fc74-4a5d-a19f-7cae074e593c,1893-029
d07a982b-1206-47c9-86f6-6b73fc4c98ee,1893-030
145cbad1-cb87-47b1-8d90-6d490fd89277,1893-031
89cb42c3-79fa-46f4-9b58-f55b00b54f6e,1883-001
315b05cb-70df-41ef-8304-ea2c5712aeba,1883-002
8297663f-b5f1-4121-be3b-9f8cac5b5101,1883-003
cfa1f2f2-e990-4d28-b937-b425945c776c,1883-004
7e59e3de-8a48-409a-a6e0-fa40340264fd,1883-005
1bf3a69e-9c16-4b71-b91e-fa50fd90023f,1883-006
ee01aa8f-356a-4453-856f-c797680829da,1883-007
d7724770-43a4-4a33-a1fc-3eb896a6b2d6,1883-008
f1b465f3-63a9-43ce-a08e-1e35a3a9489c,1883-009
d0868a76-b6b4-48ce-ab9e-a3a6377192f3,1883-010
5372162b-19ae-486b-aeb5-e38c764aa649,1883-011
50c075ab-f66f-4c2a-9626-72db29b9fc65,1883-012
a51fbab4-7336-41f6-9362-2b4c8006d1eb,1883-013
9ca3d273-611b-49a5-996d-4978fdaf4f6d,1883-014
10a5fc8a-f129-467f-ab01-80ca4b9a0c19,1884-009
f6806c91-0921-473f-86a3-8ad74ff67eca,1884-010
7f1c2037-17d2-46ec-96af-e9d3e96aff76,1884-011
b07c666f-3ddf-4b3d-b206-cdd92fba1f4b,1884-012
f75baaa0-ada5-4a5b-a879-068bd3592608,1884-013
d98bd205-f8f5-4d9d-a082-c990b9aa61a6,1884-014
7175bc20-2a5a-4700-8f8a-bfea934ce261,1884-015
f20eb8f8-7f60-4382-9840-fdf4f3bb566a,1884-016
06bc292f-ad15-49c5-8059-819da1a201b1,1884-017
4fbd8a34-463e-452e-8ee5-c4f7c3db3841,1884-018
01d0c6f0-fd62-4939-99a2-8a070eaa700f,1884-019
1ee4de86-39c4-4821-83c5-db5ebc8a1f00,1884-020
0b6f6908-aaa0-407c-9696-b005d3f8e340,1884-021
4f2d8cf9-222e-4905-85ba-bbd8d92691d6,1884-022
89adde03-fc91-45a0-bd3c-0abaf69c458b,1884-023
6115d6ed-829c-40c4-a6fe-f347760acd21,1884-024
1f4d2154-f14d-40ab-8f39-0a720c032412,1884-025
0734233c-e3d7-4e5c-984f-68f5a3acbbdf,1884-026
7bbd7f20-d1ed-4a30-a1a8-e7bb164667a2,1884-027
0c318b7e-389d-4a4f-b3fd-cd1182fa11e8,1884-029
d74fcdd4-0f8d-40c5-a40e-418dce14fbc7,1884-030
19242aff-b508-4f57-9364-38116b32804c,1884-031
55df06d1-9f4f-4f5b-ba98-11dcf8b94c2e,1884-032
9a325fa8-861d-4777-b996-df964f2f688c,1884-033
2fcb0459-588a-424f-9b8e-866e32366917,1884-034
a5528ab2-ddcc-432a-ac72-7ad784e91954,1884-035
b1722b76-3823-4122-ba0d-43044bfa39b7,1884-036
b792faa4-a1d1-4242-80de-905aa72f17d7,1884-037
4bd7446d-be93-404d-b966-98afb450bed2,1884-038
e403f14a-e258-4e29-8bac-c252aca5c502,1884-039
8778df95-322e-4830-9fff-872a13ac265d,1884-040
4e217dfe-38ad-46e5-b031-4f7bbe8f7739,1884-041
5c9ff074-47f3-4590-96a0-e696b30e5278,1884-042
44101114-1919-49d0-bddb-414d9e92e9d5,1884-043
6b9da4ec-e1a4-429f-85db-49ac73d647e9,1884-044
a916ca0c-7acb-4fee-83a5-b89848829202,1884-045
